observation,age,value,region,sex
Diabetes -> Deceased,0_4,0.0,Andean Latin America,F
Diabetes -> Deceased,5_9,0.0,Andean Latin America,F
Diabetes -> Deceased,10_14,0.0,Andean Latin America,F
Diabetes -> Deceased,15_19,0.0,Andean Latin America,F
Diabetes -> Deceased,20_24,0.0001221620234917571,Andean Latin America,F
Diabetes -> Deceased,25_29,0.0004886480939670284,Andean Latin America,F
Diabetes -> Deceased,30_39,0.0012827012466634497,Andean Latin America,F
Diabetes -> Deceased,40_49,0.0023821594580892636,Andean Latin America,F
Diabetes -> Deceased,50_59,0.004275670822211499,Andean Latin America,F
Diabetes -> Deceased,60_69,0.005558372068874949,Andean Latin America,F
Diabetes -> Deceased,70_79,0.010078366938069962,Andean Latin America,F
Diabetes -> Deceased,80_100,0.025348619874539603,Andean Latin America,F
Diabetes -> DiabeticRetinopathy,0_4,0.0,Andean Latin America,F
Diabetes -> DiabeticRetinopathy,5_9,0.0,Andean Latin America,F
Diabetes -> DiabeticRetinopathy,10_14,0.010268265147035105,Andean Latin America,F
Diabetes -> DiabeticRetinopathy,15_19,0.0109375,Andean Latin America,F
Diabetes -> DiabeticRetinopathy,20_24,0.0019934500925530402,Andean Latin America,F
Diabetes -> DiabeticRetinopathy,25_29,0.0015296841408963123,Andean Latin America,F
