timestamp,author,element_label,value
2025-01-01,avenir,COPDEpsd -> Deceased,5456
2026-01-01,avenir,COPDEpsd -> Deceased,5677
2027-01-01,avenir,COPDEpsd -> Deceased,5912
2028-01-01,avenir,COPDEpsd -> Deceased,6158
2029-01-01,avenir,COPDEpsd -> Deceased,6407
2030-01-01,avenir,COPDEpsd -> Deceased,6660
2031-01-01,avenir,COPDEpsd -> Deceased,6913
2032-01-01,avenir,COPDEpsd -> Deceased,7164
2033-01-01,avenir,COPDEpsd -> Deceased,7433
2034-01-01,avenir,COPDEpsd -> Deceased,7721
2035-01-01,avenir,COPDEpsd -> Deceased,8031
2036-01-01,avenir,COPDEpsd -> Deceased,8353
2037-01-01,avenir,COPDEpsd -> Deceased,8696
2038-01-01,avenir,COPDEpsd -> Deceased,9054
2039-01-01,avenir,COPDEpsd -> Deceased,9424
2040-01-01,avenir,COPDEpsd -> Deceased,9795
2041-01-01,avenir,COPDEpsd -> Deceased,10219
2042-01-01,avenir,COPDEpsd -> Deceased,10630
2043-01-01,avenir,COPDEpsd -> Deceased,11067
2044-01-01,avenir,COPDEpsd -> Deceased,11526
2045-01-01,avenir,COPDEpsd -> Deceased,12007
2046-01-01,avenir,COPDEpsd -> Deceased,12500
2047-01-01,avenir,COPDEpsd -> Deceased,13015
2048-01-01,avenir,COPDEpsd -> Deceased,13548
2049-01-01,avenir,COPDEpsd -> Deceased,14102
2050-01-01,avenir,COPDEpsd -> Deceased,14666
2051-01-01,avenir,COPDEpsd -> Deceased,15304
2052-01-01,avenir,COPDEpsd -> Deceased,15924
2053-01-01,avenir,COPDEpsd -> Deceased,16578
2054-01-01,avenir,COPDEpsd -> Deceased,17255
2055-01-01,avenir,COPDEpsd -> Deceased,17949
2056-01-01,avenir,COPDEpsd -> Deceased,18646
2057-01-01,avenir,COPDEpsd -> Deceased,19358
2058-01-01,avenir,COPDEpsd -> Deceased,20084
2059-01-01,avenir,COPDEpsd -> Deceased,20825
2060-01-01,avenir,COPDEpsd -> Deceased,21594
2061-01-01,avenir,COPDEpsd -> Deceased,22378
2062-01-01,avenir,COPDEpsd -> Deceased,23191
2063-01-01,avenir,COPDEpsd -> Deceased,24055
2064-01-01,avenir,COPDEpsd -> Deceased,24939
2065-01-01,avenir,COPDEpsd -> Deceased,25829
2066-01-01,avenir,COPDEpsd -> Deceased,26711
2067-01-01,avenir,COPDEpsd -> Deceased,27597
2068-01-01,avenir,COPDEpsd -> Deceased,28509
2069-01-01,avenir,COPDEpsd -> Deceased,29388
2070-01-01,avenir,COPDEpsd -> Deceased,30288
2071-01-01,avenir,COPDEpsd -> Deceased,31191
2072-01-01,avenir,COPDEpsd -> Deceased,32098
2073-01-01,avenir,COPDEpsd -> Deceased,33054
2074-01-01,avenir,COPDEpsd -> Deceased,34008
2075-01-01,avenir,COPDEpsd -> Deceased,34938
2076-01-01,avenir,COPDEpsd -> Deceased,35830
2077-01-01,avenir,COPDEpsd -> Deceased,36684
2078-01-01,avenir,COPDEpsd -> Deceased,37549
2079-01-01,avenir,COPDEpsd -> Deceased,38300
2080-01-01,avenir,COPDEpsd -> Deceased,39060
2081-01-01,avenir,COPDEpsd -> Deceased,39790
2082-01-01,avenir,COPDEpsd -> Deceased,40473
2083-01-01,avenir,COPDEpsd -> Deceased,41179
2084-01-01,avenir,COPDEpsd -> Deceased,41857
2085-01-01,avenir,COPDEpsd -> Deceased,42477
2086-01-01,avenir,COPDEpsd -> Deceased,43052
2087-01-01,avenir,COPDEpsd -> Deceased,43572
2088-01-01,avenir,COPDEpsd -> Deceased,44099
2089-01-01,avenir,COPDEpsd -> Deceased,44496
2090-01-01,avenir,COPDEpsd -> Deceased,44928
2091-01-01,avenir,COPDEpsd -> Deceased,45340
2092-01-01,avenir,COPDEpsd -> Deceased,45693
2093-01-01,avenir,COPDEpsd -> Deceased,46056
2094-01-01,avenir,COPDEpsd -> Deceased,46405
2095-01-01,avenir,COPDEpsd -> Deceased,46713
2096-01-01,avenir,COPDEpsd -> Deceased,47017
2097-01-01,avenir,COPDEpsd -> Deceased,47277
2098-01-01,avenir,COPDEpsd -> Deceased,47510
2099-01-01,avenir,COPDEpsd -> Deceased,47730
2100-01-01,avenir,COPDEpsd -> Deceased,47987
2101-01-01,avenir,COPDEpsd -> Deceased,48211
2102-01-01,avenir,COPDEpsd -> Deceased,48408
2103-01-01,avenir,COPDEpsd -> Deceased,48579
2104-01-01,avenir,COPDEpsd -> Deceased,48728
2105-01-01,avenir,COPDEpsd -> Deceased,48855
2106-01-01,avenir,COPDEpsd -> Deceased,48962
2107-01-01,avenir,COPDEpsd -> Deceased,49049
2108-01-01,avenir,COPDEpsd -> Deceased,49116
2109-01-01,avenir,COPDEpsd -> Deceased,49164
2110-01-01,avenir,COPDEpsd -> Deceased,49193
2111-01-01,avenir,COPDEpsd -> Deceased,49210
2112-01-01,avenir,COPDEpsd -> Deceased,49217
2113-01-01,avenir,COPDEpsd -> Deceased,49214
2114-01-01,avenir,COPDEpsd -> Deceased,49203
2115-01-01,avenir,COPDEpsd -> Deceased,49183
2116-01-01,avenir,COPDEpsd -> Deceased,49156
2117-01-01,avenir,COPDEpsd -> Deceased,49122
2118-01-01,avenir,COPDEpsd -> Deceased,49081
2119-01-01,avenir,COPDEpsd -> Deceased,49034
2019-01-01,avenir,DsFreeSus -> Healthy Years Lived,33218054
2020-01-01,avenir,DsFreeSus -> Healthy Years Lived,34044604
2021-01-01,avenir,DsFreeSus -> Healthy Years Lived,34871292
2022-01-01,avenir,DsFreeSus -> Healthy Years Lived,35695193
2023-01-01,avenir,DsFreeSus -> Healthy Years Lived,36519767
2024-01-01,avenir,DsFreeSus -> Healthy Years Lived,37343219
2025-01-01,avenir,DsFreeSus -> Healthy Years Lived,38166327
2026-01-01,avenir,DsFreeSus -> Healthy Years Lived,38988862
2027-01-01,avenir,DsFreeSus -> Healthy Years Lived,39807897
2028-01-01,avenir,DsFreeSus -> Healthy Years Lived,40624757
2029-01-01,avenir,DsFreeSus -> Healthy Years Lived,41436514
2030-01-01,avenir,DsFreeSus -> Healthy Years Lived,42240817
2031-01-01,avenir,DsFreeSus -> Healthy Years Lived,43039594
2032-01-01,avenir,DsFreeSus -> Healthy Years Lived,43829107
2033-01-01,avenir,DsFreeSus -> Healthy Years Lived,44612403
2034-01-01,avenir,DsFreeSus -> Healthy Years Lived,45387526
2035-01-01,avenir,DsFreeSus -> Healthy Years Lived,46154852
2036-01-01,avenir,DsFreeSus -> Healthy Years Lived,46914598
2037-01-01,avenir,DsFreeSus -> Healthy Years Lived,47663986
2038-01-01,avenir,DsFreeSus -> Healthy Years Lived,48405302
2039-01-01,avenir,DsFreeSus -> Healthy Years Lived,49135364
2040-01-01,avenir,DsFreeSus -> Healthy Years Lived,49852627
2041-01-01,avenir,DsFreeSus -> Healthy Years Lived,50558582
2042-01-01,avenir,DsFreeSus -> Healthy Years Lived,51250165
2043-01-01,avenir,DsFreeSus -> Healthy Years Lived,51927836
2044-01-01,avenir,DsFreeSus -> Healthy Years Lived,52590778
2045-01-01,avenir,DsFreeSus -> Healthy Years Lived,53239128
2046-01-01,avenir,DsFreeSus -> Healthy Years Lived,53872831
2047-01-01,avenir,DsFreeSus -> Healthy Years Lived,54490047
2048-01-01,avenir,DsFreeSus -> Healthy Years Lived,55094282
2049-01-01,avenir,DsFreeSus -> Healthy Years Lived,55681603
2050-01-01,avenir,DsFreeSus -> Healthy Years Lived,56262643
2051-01-01,avenir,DsFreeSus -> Healthy Years Lived,56836738
2052-01-01,avenir,DsFreeSus -> Healthy Years Lived,57401652
2053-01-01,avenir,DsFreeSus -> Healthy Years Lived,57958015
2054-01-01,avenir,DsFreeSus -> Healthy Years Lived,58506132
2055-01-01,avenir,DsFreeSus -> Healthy Years Lived,59044681
2056-01-01,avenir,DsFreeSus -> Healthy Years Lived,59573566
2057-01-01,avenir,DsFreeSus -> Healthy Years Lived,60090487
